Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
367,12.23,Vehiculo,92.4,MEDIO
368,12.27,Vehiculo,92.1,MEDIO
369,12.3,Vehiculo,92.7,MEDIO
370,12.33,Vehiculo,92.1,MEDIO
371,12.37,Vehiculo,90.8,MEDIO
372,12.4,Vehiculo,91.7,MEDIO
373,12.43,Vehiculo,91.0,MEDIO
374,12.47,Vehiculo,92.0,MEDIO
375,12.5,Vehiculo,92.3,MEDIO
376,12.53,Vehiculo,92.2,MEDIO
377,12.57,Vehiculo,90.2,MEDIO
378,12.6,Vehiculo,47.8,MEDIO
379,12.63,Vehiculo,88.8,MEDIO
380,12.67,Vehiculo,90.3,MEDIO
381,12.7,Vehiculo,88.8,MEDIO
382,12.73,Vehiculo,83.2,MEDIO
383,12.77,Vehiculo,80.2,MEDIO
384,12.8,Vehiculo,86.0,MEDIO
385,12.83,Vehiculo,88.0,MEDIO
386,12.87,Vehiculo,87.3,MEDIO
387,12.9,Vehiculo,89.1,MEDIO
388,12.93,Vehiculo,89.0,MEDIO
389,12.97,Vehiculo,87.7,MEDIO
390,13.0,Vehiculo,86.3,MEDIO
409,13.63,Vehiculo,92.1,MEDIO
410,13.67,Vehiculo,92.9,MEDIO
411,13.7,Vehiculo,92.7,MEDIO
412,13.73,Vehiculo,92.1,MEDIO
413,13.77,Vehiculo,92.5,MEDIO
414,13.8,Vehiculo,92.7,MEDIO
415,13.83,Vehiculo,93.1,MEDIO
416,13.87,Vehiculo,94.0,MEDIO
417,13.9,Vehiculo,93.4,MEDIO
418,13.93,Vehiculo,93.3,ALTO
419,13.97,Vehiculo,91.4,ALTO
420,14.0,Vehiculo,91.8,ALTO
421,14.03,Vehiculo,91.7,ALTO
422,14.07,Vehiculo,91.1,ALTO
423,14.1,Vehiculo,91.8,ALTO
424,14.13,Vehiculo,92.9,ALTO
425,14.17,Vehiculo,93.7,ALTO
426,14.2,Vehiculo,90.0,ALTO
427,14.23,Vehiculo,89.7,ALTO
428,14.27,Vehiculo,90.3,MEDIO
429,14.3,Vehiculo,90.9,MEDIO
430,14.33,Vehiculo,91.0,MEDIO
431,14.37,Vehiculo,87.9,MEDIO
432,14.4,Vehiculo,70.6,MEDIO
603,20.1,Peaton,55.4,CRÍTICO
604,20.13,Peaton,57.0,CRÍTICO
606,20.2,Peaton,63.8,CRÍTICO
607,20.23,Peaton,76.8,CRÍTICO
608,20.27,Peaton,88.3,CRÍTICO
609,20.3,Peaton,78.6,CRÍTICO
612,20.4,Peaton,40.2,CRÍTICO
613,20.43,Peaton,60.5,CRÍTICO
614,20.47,Peaton,70.9,CRÍTICO
615,20.5,Peaton,73.0,CRÍTICO
618,20.6,Peaton,81.8,CRÍTICO
619,20.63,Peaton,73.7,CRÍTICO
620,20.67,Peaton,79.9,CRÍTICO
622,20.73,Peaton,83.4,CRÍTICO
623,20.77,Peaton,77.1,CRÍTICO
624,20.8,Peaton,60.9,CRÍTICO
625,20.83,Peaton,77.9,CRÍTICO
626,20.87,Peaton,79.4,CRÍTICO
627,20.9,Peaton,84.7,CRÍTICO
628,20.93,Peaton,79.6,CRÍTICO
629,20.97,Peaton,74.6,CRÍTICO
631,21.03,Peaton,66.2,CRÍTICO
800,26.67,Vehiculo,89.4,MEDIO
801,26.7,Vehiculo,89.6,MEDIO
802,26.73,Vehiculo,88.4,MEDIO
803,26.77,Vehiculo,88.0,MEDIO
804,26.8,Vehiculo,86.6,MEDIO
805,26.83,Vehiculo,75.6,MEDIO
806,26.87,Vehiculo,87.1,MEDIO
807,26.9,Vehiculo,87.3,MEDIO
808,26.93,Vehiculo,86.6,MEDIO
809,26.97,Vehiculo,85.8,MEDIO
812,27.07,Vehiculo,86.5,MEDIO
821,27.37,Vehiculo,90.9,MEDIO
822,27.4,Vehiculo,90.5,MEDIO
823,27.43,Vehiculo,90.5,MEDIO
824,27.47,Vehiculo,91.0,MEDIO
825,27.5,Vehiculo,93.0,MEDIO
826,27.53,Vehiculo,92.7,MEDIO
