Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
283,9.43,Vehiculo,94.9,MEDIO
284,9.47,Vehiculo,95.0,MEDIO
285,9.5,Vehiculo,94.9,MEDIO
286,9.53,Vehiculo,94.9,MEDIO
287,9.57,Vehiculo,95.0,MEDIO
288,9.6,Vehiculo,94.8,MEDIO
289,9.63,Vehiculo,94.8,MEDIO
290,9.67,Vehiculo,94.8,MEDIO
291,9.7,Vehiculo,94.9,MEDIO
292,9.73,Vehiculo,95.1,MEDIO
293,9.77,Vehiculo,95.1,MEDIO
294,9.8,Vehiculo,95.0,MEDIO
295,9.83,Vehiculo,95.0,MEDIO
296,9.87,Vehiculo,95.1,MEDIO
297,9.9,Vehiculo,95.0,MEDIO
298,9.93,Vehiculo,95.0,MEDIO
299,9.97,Vehiculo,94.9,MEDIO
300,10.0,Vehiculo,94.9,MEDIO
301,10.03,Vehiculo,94.9,MEDIO
302,10.07,Vehiculo,94.9,MEDIO
303,10.1,Vehiculo,94.9,MEDIO
304,10.13,Vehiculo,94.9,MEDIO
305,10.17,Vehiculo,94.9,MEDIO
306,10.2,Vehiculo,94.9,MEDIO
307,10.23,Vehiculo,94.9,MEDIO
308,10.27,Vehiculo,94.8,MEDIO
309,10.3,Vehiculo,94.7,MEDIO
310,10.33,Vehiculo,94.7,MEDIO
311,10.37,Vehiculo,94.7,MEDIO
312,10.4,Vehiculo,94.7,MEDIO
313,10.43,Vehiculo,94.7,MEDIO
314,10.47,Vehiculo,94.7,MEDIO
315,10.5,Vehiculo,94.6,MEDIO
316,10.53,Vehiculo,94.7,MEDIO
317,10.57,Vehiculo,94.7,MEDIO
318,10.6,Vehiculo,94.8,MEDIO
319,10.63,Vehiculo,94.8,MEDIO
320,10.67,Vehiculo,94.8,MEDIO
321,10.7,Vehiculo,94.9,MEDIO
322,10.73,Vehiculo,94.8,MEDIO
323,10.77,Vehiculo,94.8,MEDIO
324,10.8,Vehiculo,94.8,MEDIO
325,10.83,Vehiculo,94.7,MEDIO
326,10.87,Vehiculo,94.7,MEDIO
327,10.9,Vehiculo,94.8,MEDIO
328,10.93,Vehiculo,94.8,MEDIO
329,10.97,Vehiculo,94.9,MEDIO
330,11.0,Vehiculo,94.9,MEDIO
331,11.03,Vehiculo,95.0,MEDIO
332,11.07,Vehiculo,95.0,MEDIO
333,11.1,Vehiculo,95.0,MEDIO
334,11.13,Vehiculo,95.0,MEDIO
335,11.17,Vehiculo,95.0,MEDIO
336,11.2,Vehiculo,95.0,MEDIO
337,11.23,Vehiculo,95.0,MEDIO
338,11.27,Vehiculo,95.0,MEDIO
339,11.3,Vehiculo,95.0,MEDIO
340,11.33,Vehiculo,94.9,MEDIO
341,11.37,Vehiculo,95.1,MEDIO
342,11.4,Vehiculo,95.1,MEDIO
343,11.43,Vehiculo,95.0,MEDIO
344,11.47,Vehiculo,95.0,MEDIO
345,11.5,Vehiculo,94.9,MEDIO
346,11.53,Vehiculo,94.9,MEDIO
347,11.57,Vehiculo,94.9,MEDIO
348,11.6,Vehiculo,94.9,MEDIO
349,11.63,Vehiculo,94.9,MEDIO
350,11.67,Vehiculo,94.9,MEDIO
351,11.7,Vehiculo,94.8,MEDIO
352,11.73,Vehiculo,94.7,MEDIO
353,11.77,Vehiculo,94.6,MEDIO
354,11.8,Vehiculo,94.7,MEDIO
355,11.83,Vehiculo,94.6,MEDIO
356,11.87,Vehiculo,94.6,MEDIO
357,11.9,Vehiculo,94.7,MEDIO
358,11.93,Vehiculo,94.6,MEDIO
359,11.97,Vehiculo,94.7,MEDIO
